Song,Split,Start,End,Duration,Words,Lyric
The Long Wait - Back Home To Blue,Train,67.0,74.0,7.0,10,i saw this easy river flow last time in winter
The Long Wait - Back Home To Blue,Train,74.0,80.0,6.0,9,oh but this morning burns the memphis summer glow
The Long Wait - Back Home To Blue,Train,80.0,86.0,6.0,10,i'm coming back across i always knew this subtle graces
The Long Wait - Back Home To Blue,Train,86.0,97.0,11.0,15,and the mississippi river sets the tempo and the pace i'm going far far away
The Long Wait - Back Home To Blue,Train,97.0,103.0,6.0,6,i'm going far far far away
The Long Wait - Back Home To Blue,Train,103.0,113.0,10.0,12,oh i'm going far far away it's always good to get away
The Long Wait - Back Home To Blue,Train,113.0,122.0,9.0,11,we'd better still to come back home back home to blue
The Long Wait - Back Home To Blue,Train,122.0,130.0,8.0,1,-
The Long Wait - Back Home To Blue,Train,130.0,137.0,7.0,1,-
The Long Wait - Back Home To Blue,Train,137.0,146.0,9.0,1,-
The Long Wait - Back Home To Blue,Train,146.0,152.0,6.0,10,if absence makes the heart grow thunder i would reckon
The Long Wait - Back Home To Blue,Train,152.0,158.0,6.0,12,these little journeys do their parts to work for all of us
The Long Wait - Back Home To Blue,Train,158.0,165.0,7.0,14,cause when you leave the sun ray dribs from green and dusty as bins
The Long Wait - Back Home To Blue,Train,164.0,170.0,6.0,12,and then they shimmer golden when you come back in the fall
The Long Wait - Back Home To Blue,Train,170.0,176.0,6.0,5,i'm going far far away
The Long Wait - Back Home To Blue,Train,176.0,182.0,6.0,5,i'm going far far away
The Long Wait - Back Home To Blue,Train,182.0,191.0,9.0,12,oh i'm going far far away it's always good to get away
The Long Wait - Back Home To Blue,Train,192.0,197.0,5.0,7,we'd better still to come back home
The Long Wait - Back Home To Blue,Train,198.0,208.0,10.0,4,back home to blue
The Long Wait - Back Home To Blue,Train,208.0,215.0,7.0,1,-
The Long Wait - Back Home To Blue,Train,215.0,222.0,7.0,1,-
The Long Wait - Back Home To Blue,Train,222.0,231.0,9.0,1,-
The Long Wait - Back Home To Blue,Train,231.0,237.0,6.0,12,many rose of corn blur on the downside of the blue hill
The Long Wait - Back Home To Blue,Train,237.0,246.0,9.0,13,i think it's always been this way and i guess it always will
The Long Wait - Back Home To Blue,Train,246.0,254.0,8.0,1,-
AvaLuna - Waterduct,Train,0.0,7.0,7.0,1,-
AvaLuna - Waterduct,Train,7.0,15.0,8.0,1,-
AvaLuna - Waterduct,Train,15.0,20.0,5.0,1,-
AvaLuna - Waterduct,Train,20.0,26.0,6.0,1,-
AvaLuna - Waterduct,Train,26.0,34.0,8.0,1,-
AvaLuna - Waterduct,Train,34.0,42.0,8.0,1,-
AvaLuna - Waterduct,Train,42.0,48.0,6.0,1,-
AvaLuna - Waterduct,Train,48.0,54.0,6.0,8,were you taken with a stretch of track
AvaLuna - Waterduct,Train,54.0,59.0,5.0,7,see me follow the electric light to
AvaLuna - Waterduct,Train,59.0,63.0,4.0,4,saw moon you by
AvaLuna - Waterduct,Train,63.0,70.0,7.0,7,take away this part above the desk
AvaLuna - Waterduct,Train,70.0,74.0,4.0,6,in pain above the colored canape
AvaLuna - Waterduct,Train,86.0,92.0,6.0,5,but you tether to nothing
AvaLuna - Waterduct,Train,101.0,105.0,4.0,1,-
AvaLuna - Waterduct,Train,105.0,111.0,6.0,8,but you tether to nothing and no one
AvaLuna - Waterduct,Train,120.0,128.0,8.0,5,if i had my way
AvaLuna - Waterduct,Train,128.0,134.0,6.0,1,uh
AvaLuna - Waterduct,Train,134.0,141.0,7.0,1,uh
AvaLuna - Waterduct,Train,141.0,147.0,6.0,7,was it coiled in a boco map
AvaLuna - Waterduct,Train,147.0,155.0,8.0,14,was it singled out on a seven train as it floated over day land
AvaLuna - Waterduct,Train,155.0,162.0,7.0,6,oh and i could advise myself
AvaLuna - Waterduct,Train,162.0,167.0,5.0,5,and i could find myself
AvaLuna - Waterduct,Train,186.0,196.0,10.0,1,uh
AvaLuna - Waterduct,Train,196.0,202.0,6.0,5,but you tether to nothing
AvaLuna - Waterduct,Train,210.0,214.0,4.0,5,if i had my way
AvaLuna - Waterduct,Train,214.0,220.0,6.0,8,but you tether to nothing and no one
AvaLuna - Waterduct,Train,230.0,237.0,7.0,5,much you tether to nothing
AvaLuna - Waterduct,Train,237.0,244.0,7.0,5,but you tether to nothing
AvaLuna - Waterduct,Train,244.0,254.0,10.0,1,-
Patrick Talbot - A Reason To Leave,Train,0.0,10.0,10.0,1,-
Patrick Talbot - A Reason To Leave,Train,10.0,16.0,6.0,1,-
Patrick Talbot - A Reason To Leave,Train,16.0,21.0,5.0,1,-
Patrick Talbot - A Reason To Leave,Train,21.0,29.0,8.0,1,-
Patrick Talbot - A Reason To Leave,Train,29.0,36.0,7.0,11,the way you're moving babe the way you hold my hand
Patrick Talbot - A Reason To Leave,Train,35.0,39.0,4.0,5,a sparkle in your smile
Patrick Talbot - A Reason To Leave,Train,39.0,45.0,6.0,14,i really cannot stand it i love to love you i love you much
Patrick Talbot - A Reason To Leave,Train,45.0,51.0,6.0,9,it's such a fever this aching in my heart
Patrick Talbot - A Reason To Leave,Train,51.0,60.0,9.0,13,is more than i can bear give me a reason to leave babe
Patrick Talbot - A Reason To Leave,Train,60.0,65.0,5.0,7,just give me a reason to leave
Patrick Talbot - A Reason To Leave,Train,65.0,72.0,7.0,11,i don't remember i don't recall the first time first sight
Patrick Talbot - A Reason To Leave,Train,72.0,81.0,9.0,20,it wasn't long before i stumbled and now i'm falling down i love to love you i love you much
Patrick Talbot - A Reason To Leave,Train,81.0,88.0,7.0,9,it's such a fever this feeling in my heart
Patrick Talbot - A Reason To Leave,Train,88.0,94.0,6.0,12,is more than i can bear give me a reason to leave
Patrick Talbot - A Reason To Leave,Train,113.0,120.0,7.0,1,-
Patrick Talbot - A Reason To Leave,Train,120.0,126.0,6.0,1,-
Patrick Talbot - A Reason To Leave,Train,126.0,133.0,7.0,1,-
Patrick Talbot - A Reason To Leave,Train,133.0,138.0,5.0,1,-
Patrick Talbot - A Reason To Leave,Train,138.0,147.0,9.0,1,-
Patrick Talbot - A Reason To Leave,Train,147.0,154.0,7.0,11,i gotta move on gotta get out of your loving arms
Patrick Talbot - A Reason To Leave,Train,154.0,160.0,6.0,13,i need a break i need some air will you help me now
Patrick Talbot - A Reason To Leave,Train,160.0,169.0,9.0,18,i love to love you i love you much it's such a fever this aching in my heart
Patrick Talbot - A Reason To Leave,Train,207.0,212.0,5.0,1,-
Patrick Talbot - A Reason To Leave,Train,212.0,220.0,8.0,1,-
Patrick Talbot - A Reason To Leave,Train,220.0,226.0,6.0,1,-
Patrick Talbot - A Reason To Leave,Train,226.0,233.0,7.0,1,-
Patrick Talbot - A Reason To Leave,Train,233.0,240.0,7.0,1,-
Patrick Talbot - A Reason To Leave,Train,240.0,248.0,8.0,1,-
Patrick Talbot - A Reason To Leave,Train,248.0,256.0,8.0,1,-
Johnny Lokke - Whisper To A Scream,Train,0.0,8.0,8.0,1,-
Johnny Lokke - Whisper To A Scream,Train,8.0,14.0,6.0,1,-
Johnny Lokke - Whisper To A Scream,Train,14.0,20.0,6.0,9,searching the world from its start to its end
Johnny Lokke - Whisper To A Scream,Train,20.0,27.0,7.0,7,looking for where my sick life begun
Johnny Lokke - Whisper To A Scream,Train,27.0,34.0,7.0,6,slicing through shadows driven by pain
Johnny Lokke - Whisper To A Scream,Train,34.0,41.0,7.0,10,kicking the back roads and drowning in this bloody rain
Johnny Lokke - Whisper To A Scream,Train,41.0,47.0,6.0,12,never awake from this stide falling dream that always takes a whisper
Johnny Lokke - Whisper To A Scream,Train,47.0,53.0,6.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,53.0,60.0,7.0,9,so much emotion that i can't hold it back
Johnny Lokke - Whisper To A Scream,Train,60.0,67.0,7.0,10,you take the high road i'll take top muddy path
Johnny Lokke - Whisper To A Scream,Train,67.0,73.0,6.0,9,some like it hard and some like it fast
Johnny Lokke - Whisper To A Scream,Train,73.0,80.0,7.0,9,i like it heavy and want it to last
Johnny Lokke - Whisper To A Scream,Train,80.0,87.0,7.0,15,look in my eyes it's not what it seems trust me i'll turn your whisper
Johnny Lokke - Whisper To A Scream,Train,87.0,93.0,6.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,93.0,103.0,10.0,12,ah ah ah ah ah don't turn around just keep moving faster
Johnny Lokke - Whisper To A Scream,Train,103.0,110.0,7.0,9,ah barry a deam you know what i matter
Johnny Lokke - Whisper To A Scream,Train,110.0,117.0,7.0,7,almost there why did you listen ah
Johnny Lokke - Whisper To A Scream,Train,117.0,125.0,8.0,8,now you know just what you've been missin'
Johnny Lokke - Whisper To A Scream,Train,125.0,132.0,7.0,1,-
Johnny Lokke - Whisper To A Scream,Train,132.0,140.0,8.0,1,-
Johnny Lokke - Whisper To A Scream,Train,140.0,146.0,6.0,1,-
Johnny Lokke - Whisper To A Scream,Train,146.0,157.0,11.0,1,-
Johnny Lokke - Whisper To A Scream,Train,157.0,165.0,8.0,1,-
Johnny Lokke - Whisper To A Scream,Train,165.0,172.0,7.0,1,-
Johnny Lokke - Whisper To A Scream,Train,172.0,179.0,7.0,8,it's over it's done i bid mum farewell
Johnny Lokke - Whisper To A Scream,Train,179.0,187.0,8.0,8,reach for the heaven but dragged into hell
Johnny Lokke - Whisper To A Scream,Train,186.0,193.0,7.0,9,life is too short for what you've been givin'
Johnny Lokke - Whisper To A Scream,Train,193.0,200.0,7.0,9,foot to the floor you know we're all driven
Johnny Lokke - Whisper To A Scream,Train,199.0,206.0,7.0,16,let it all go when burn up the steam make your own mog like a whisper
Johnny Lokke - Whisper To A Scream,Train,206.0,211.0,5.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,211.0,218.0,7.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,218.0,225.0,7.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,225.0,232.0,7.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,232.0,238.0,6.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,238.0,247.0,9.0,3,to a scream
Johnny Lokke - Whisper To A Scream,Train,247.0,254.0,7.0,1,-
Alexander Ross - Velvet Curtain,Train,0.0,8.0,8.0,1,-
Alexander Ross - Velvet Curtain,Train,8.0,12.0,4.0,1,-
Alexander Ross - Velvet Curtain,Train,12.0,20.0,8.0,8,i remember lying in the dark cautiously tell
Alexander Ross - Velvet Curtain,Train,20.0,30.0,10.0,16,about those other women 'bout the lies in their eyes and the nights between their fights
Alexander Ross - Velvet Curtain,Train,30.0,40.0,10.0,12,i found silently forgiven what a fool i was to ever think
Alexander Ross - Velvet Curtain,Train,40.0,46.0,6.0,6,i could ever speak so cuddly
Alexander Ross - Velvet Curtain,Train,46.0,52.0,6.0,8,what a fool i was to ever think
Alexander Ross - Velvet Curtain,Train,52.0,58.0,6.0,7,i could handle what you'd handed me
Alexander Ross - Velvet Curtain,Train,58.0,64.0,6.0,9,cause i had tread water in the shallows before
Alexander Ross - Velvet Curtain,Train,64.0,70.0,6.0,10,scared to plumb the depths even if i wanted more
Alexander Ross - Velvet Curtain,Train,70.0,76.0,6.0,13,so i let it trickle out around my heart into a mode that
Alexander Ross - Velvet Curtain,Train,76.0,82.0,6.0,9,kept me far apart from the poetry i wrote
Alexander Ross - Velvet Curtain,Train,82.0,90.0,8.0,20,but you wanted to drown and when we wash up on the quays i'm scared i'll be all dried out
Alexander Ross - Velvet Curtain,Train,89.0,98.0,9.0,15,with nothing left to say and you look at me and you say to me
Alexander Ross - Velvet Curtain,Train,98.0,104.0,6.0,1,-
Alexander Ross - Velvet Curtain,Train,104.0,111.0,7.0,1,-
Alexander Ross - Velvet Curtain,Train,111.0,121.0,10.0,7,we're just extras reading someone else's lines
Alexander Ross - Velvet Curtain,Train,122.0,130.0,8.0,11,i'm all out of inclination and you haven't go the time
Alexander Ross - Velvet Curtain,Train,130.0,134.0,4.0,1,-
Alexander Ross - Velvet Curtain,Train,134.0,144.0,10.0,15,baby it's all been set and done there's no one left for us to be
Alexander Ross - Velvet Curtain,Train,146.0,154.0,8.0,15,and i think that if you still love me maybe you should set me free
Alexander Ross - Velvet Curtain,Train,154.0,161.0,7.0,1,-
Alexander Ross - Velvet Curtain,Train,161.0,170.0,9.0,1,-
Alexander Ross - Velvet Curtain,Train,170.0,180.0,10.0,13,i remember drinking to much whisky you had been drinking too much wine
Alexander Ross - Velvet Curtain,Train,181.0,188.0,7.0,6,and you gently whispered to me
Alexander Ross - Velvet Curtain,Train,188.0,196.0,8.0,10,that you wanted me to find ways to worship you
Alexander Ross - Velvet Curtain,Train,196.0,202.0,6.0,12,that no one had before so i smashed your stain glass windows
Alexander Ross - Velvet Curtain,Train,202.0,211.0,9.0,18,and kicked in all your doors what a fool i'd been to think i could ever stand before
Alexander Ross - Velvet Curtain,Train,211.0,216.0,5.0,5,that bare and flawless alter
Alexander Ross - Velvet Curtain,Train,216.0,223.0,7.0,11,what a fool i was to drink that sacrament you poured
Alexander Ross - Velvet Curtain,Train,223.0,228.0,5.0,6,and think i would never falter
Alexander Ross - Velvet Curtain,Train,228.0,234.0,6.0,9,cause i had tread water in the shallows before
Alexander Ross - Velvet Curtain,Train,234.0,242.0,8.0,16,scared to plumb the depths even if i wanted more so i let it trickle out
Alexander Ross - Velvet Curtain,Train,242.0,248.0,6.0,11,around my heard into a mode that kept me far apart
Alexander Ross - Velvet Curtain,Train,248.0,252.0,4.0,5,from the poetry i wrote
Alexander Ross - Velvet Curtain,Train,252.0,257.0,5.0,12,you wanted to drown when we wash up on the quays i'm
Alexander Ross - Velvet Curtain,Train,257.0,265.0,8.0,16,scared i'll be all dried up with nothing interesting to say and you'll look at me
Alexander Ross - Velvet Curtain,Train,265.0,271.0,6.0,5,and you say to me
Alexander Ross - Velvet Curtain,Train,271.0,275.0,4.0,1,-
Alexander Ross - Velvet Curtain,Train,275.0,281.0,6.0,1,-
Alexander Ross - Velvet Curtain,Train,281.0,290.0,9.0,7,we're just extras reading someone else's lines
Alexander Ross - Velvet Curtain,Train,292.0,300.0,8.0,10,i haven't got the inclination you haven't got the time
Alexander Ross - Velvet Curtain,Train,300.0,304.0,4.0,1,-
Alexander Ross - Velvet Curtain,Train,304.0,312.0,8.0,15,baby it's all been set and done there's no one left for us to be
Alexander Ross - Velvet Curtain,Train,312.0,316.0,4.0,1,-
Alexander Ross - Velvet Curtain,Train,316.0,324.0,8.0,14,so i think if you really love me then you should set me free
Alexander Ross - Velvet Curtain,Train,324.0,330.0,6.0,1,-
Alexander Ross - Velvet Curtain,Train,330.0,337.0,7.0,1,-
Alexander Ross - Velvet Curtain,Train,337.0,342.0,5.0,1,-
Alexander Ross - Velvet Curtain,Train,342.0,349.0,7.0,1,-
Alexander Ross - Velvet Curtain,Train,349.0,354.0,5.0,3,we're just extras
Alexander Ross - Velvet Curtain,Train,354.0,361.0,7.0,4,reading someone else's lines
Alexander Ross - Velvet Curtain,Train,364.0,369.0,5.0,5,i haven't got the inclination
Alexander Ross - Velvet Curtain,Train,369.0,374.0,5.0,6,and you're wasting all my time
Alexander Ross - Velvet Curtain,Train,374.0,379.0,5.0,1,-
Alexander Ross - Velvet Curtain,Train,379.0,390.0,11.0,15,baby it's all been set and done there's no one left for us to be
Alexander Ross - Velvet Curtain,Train,393.0,404.0,11.0,20,and i think if you still really love me maybe you should set me free you should set me free
Alexander Ross - Velvet Curtain,Train,407.0,413.0,6.0,6,but while the orchestra plays dergens
Alexander Ross - Velvet Curtain,Train,413.0,420.0,7.0,4,to an empty house
Alexander Ross - Velvet Curtain,Train,422.0,432.0,10.0,12,if you've still got any urgence i think you should let'em out
Alexander Ross - Velvet Curtain,Train,437.0,448.0,11.0,13,let's shake the dust off of these rafters with nothing but the sound
Alexander Ross - Velvet Curtain,Train,450.0,456.0,6.0,13,of your love and your cries and your laughter for they bring that
Alexander Ross - Velvet Curtain,Train,456.0,460.0,4.0,3,velvet curtain down
Matthew Entwistle - Dont You Ever,Train,0.0,10.0,10.0,1,-
Matthew Entwistle - Dont You Ever,Train,10.0,17.0,7.0,1,-
Matthew Entwistle - Dont You Ever,Train,17.0,23.0,6.0,1,-
Matthew Entwistle - Dont You Ever,Train,23.0,29.0,6.0,1,-
Matthew Entwistle - Dont You Ever,Train,29.0,33.0,4.0,3,we maybe all
Matthew Entwistle - Dont You Ever,Train,33.0,39.0,6.0,7,got lives to live till we're done
Matthew Entwistle - Dont You Ever,Train,38.0,44.0,6.0,6,some things won't go my way
Matthew Entwistle - Dont You Ever,Train,44.0,49.0,5.0,6,i know this but i pray
Matthew Entwistle - Dont You Ever,Train,51.0,57.0,6.0,5,bag you won't be far
Matthew Entwistle - Dont You Ever,Train,57.0,63.0,6.0,5,cause you've stolen my heart
Matthew Entwistle - Dont You Ever,Train,62.0,67.0,5.0,6,you may take advantage of me
Matthew Entwistle - Dont You Ever,Train,67.0,72.0,5.0,6,but don't you ever hurt me
Matthew Entwistle - Dont You Ever,Train,72.0,81.0,9.0,14,don't think i'm someone you can figure out cause i feel so very conflicted
Matthew Entwistle - Dont You Ever,Train,81.0,89.0,8.0,12,but in fact i really love you though it doesn't always show
Matthew Entwistle - Dont You Ever,Train,89.0,98.0,9.0,11,so we maybe all got lives to live till we're done
Matthew Entwistle - Dont You Ever,Train,98.0,108.0,10.0,13,you may take advantage of me baby but don't you ever hurt me
The Districts - Vermont,Train,0.0,10.0,10.0,1,-
The Districts - Vermont,Train,10.0,17.0,7.0,1,-
The Districts - Vermont,Train,17.0,25.0,8.0,1,-
The Districts - Vermont,Train,25.0,31.0,6.0,1,-
The Districts - Vermont,Train,31.0,40.0,9.0,12,holding tight like glue you took me to the basement floor you
The Districts - Vermont,Train,40.0,47.0,7.0,6,shook me and i know why
The Districts - Vermont,Train,47.0,52.0,5.0,7,from the porch where we stood staring
The Districts - Vermont,Train,52.0,59.0,7.0,8,through the glass it glistens careless snow white
The Districts - Vermont,Train,59.0,68.0,9.0,14,outside the man who holds the skis you're gone down from the place you
The Districts - Vermont,Train,68.0,74.0,6.0,8,believe it's not just for the weekend now
The Districts - Vermont,Train,74.0,81.0,7.0,10,take me in a box beside you or a frame
The Districts - Vermont,Train,81.0,88.0,7.0,1,-
The Districts - Vermont,Train,88.0,94.0,6.0,7,hold my back when my head's spinnin'
The Districts - Vermont,Train,94.0,104.0,10.0,15,prove me sane when we're awake and i'll be fine or else i might be
The Districts - Vermont,Train,104.0,110.0,6.0,6,twice been wrong you've been forgiven
The Districts - Vermont,Train,110.0,120.0,10.0,17,your bare feet cross me twice while playing as i said when out here we might be
The Districts - Vermont,Train,120.0,126.0,6.0,8,me i'm gone down from the place you
The Districts - Vermont,Train,126.0,132.0,6.0,8,leave it's not just for the weekend now
The Districts - Vermont,Train,132.0,139.0,7.0,10,take me in a box beside you or a frame
The Districts - Vermont,Train,139.0,145.0,6.0,1,-
The Districts - Vermont,Train,145.0,152.0,7.0,1,-
The Districts - Vermont,Train,152.0,160.0,8.0,1,-
The Districts - Vermont,Train,160.0,165.0,5.0,1,-
The Districts - Vermont,Train,165.0,172.0,7.0,1,-
The Districts - Vermont,Train,172.0,178.0,6.0,8,me i'm gone down from the place you
The Districts - Vermont,Train,178.0,187.0,9.0,13,leave it's not just for the weekend now when you gonna tell me
The Districts - Vermont,Train,186.0,190.0,4.0,5,tell me what you need
The Districts - Vermont,Train,190.0,200.0,10.0,21,would you stop me short so i won't believe i pull you from your place and see the see the look
The Districts - Vermont,Train,200.0,208.0,8.0,15,in your eyes wouldn't it be a big surprise if i would choose your side
The Districts - Vermont,Train,208.0,213.0,5.0,7,i just can't remember simply can't decide
The Districts - Vermont,Train,213.0,220.0,7.0,12,which hand to let her side with you really needn't cry anymore
Clara Berry And Wooldog - Stella,Train,0.0,10.0,10.0,1,-
Clara Berry And Wooldog - Stella,Train,10.0,16.0,6.0,1,-
Clara Berry And Wooldog - Stella,Train,16.0,22.0,6.0,6,stella's slinking down the sidewalk the
Clara Berry And Wooldog - Stella,Train,21.0,31.0,10.0,11,the bad boys say they gonna bring her back some day
Clara Berry And Wooldog - Stella,Train,33.0,44.0,11.0,9,better run fast now better make your great escape
Clara Berry And Wooldog - Stella,Train,46.0,52.0,6.0,7,on and on and on they whisper
Clara Berry And Wooldog - Stella,Train,51.0,60.0,9.0,6,spalling hope and spinning answers dear
Clara Berry And Wooldog - Stella,Train,63.0,72.0,9.0,15,ae ae ey but i like your tongue dart mothers and your paper plane fathers
Clara Berry And Wooldog - Stella,Train,71.0,82.0,11.0,6,they will throw your hearts away
Clara Berry And Wooldog - Stella,Train,82.0,89.0,7.0,6,stella's slinking down the sidewalk the
Clara Berry And Wooldog - Stella,Train,88.0,98.0,10.0,9,the baggers say she better figure out her place
Clara Berry And Wooldog - Stella,Train,100.0,110.0,10.0,9,better run fast now better make your great escape
Clara Berry And Wooldog - Stella,Train,110.0,114.0,4.0,1,-
Clara Berry And Wooldog - Stella,Train,114.0,121.0,7.0,14,pushing the pencils for grey hairy men that will smile at her kindly but
Clara Berry And Wooldog - Stella,Train,121.0,126.0,5.0,5,never consider her their own
Clara Berry And Wooldog - Stella,Train,126.0,136.0,10.0,22,da da da da da da da da da that is she remember her mother or forget where she came from the
Clara Berry And Wooldog - Stella,Train,136.0,142.0,6.0,12,smell of his belt or the taste of his fist on her
Clara Berry And Wooldog - Stella,Train,142.0,148.0,6.0,1,skin
Clara Berry And Wooldog - Stella,Train,148.0,158.0,10.0,13,lean lean lean lean lean lean lean lean lean lean lean lean lean
Clara Berry And Wooldog - Stella,Train,158.0,167.0,9.0,2,on me
Clara Berry And Wooldog - Stella,Train,167.0,175.0,8.0,1,ha
Clara Berry And Wooldog - Stella,Train,175.0,185.0,10.0,2,ha ha
James May - On The Line,Train,0.0,7.0,7.0,1,-
James May - On The Line,Train,7.0,13.0,6.0,9,it's the season the train pulls in the stop
James May - On The Line,Train,13.0,21.0,8.0,8,conductor smiles and says you call me pup
James May - On The Line,Train,21.0,26.0,5.0,6,climb abord now it's warm inside
James May - On The Line,Train,26.0,33.0,7.0,10,and all he asks of you is please don't hide
James May - On The Line,Train,33.0,40.0,7.0,1,-
James May - On The Line,Train,40.0,46.0,6.0,9,where're you're going he is not about to say
James May - On The Line,Train,46.0,53.0,7.0,9,but there's a knowing look upon his weathered face
James May - On The Line,Train,53.0,59.0,6.0,10,from the north a cold wind howls down the track
James May - On The Line,Train,60.0,66.0,6.0,10,but all it says to you is don't turn back
James May - On The Line,Train,66.0,73.0,7.0,6,with whose eyes do we see
James May - On The Line,Train,73.0,83.0,10.0,10,with what heart can we find peace with whose smile
James May - On The Line,Train,83.0,90.0,7.0,7,do we shine will our passion become
James May - On The Line,Train,90.0,95.0,5.0,5,fiend on the earthbound line
James May - On The Line,Train,95.0,100.0,5.0,1,-
James May - On The Line,Train,100.0,106.0,6.0,9,fast as light the train has long since disappeared
James May - On The Line,Train,106.0,112.0,6.0,10,you swim with demons in that soup of human fear
James May - On The Line,Train,112.0,119.0,7.0,10,since something drops it's like you're rolling down a hill
James May - On The Line,Train,119.0,126.0,7.0,12,and all you've asked is do you like the way it feels
James May - On The Line,Train,126.0,132.0,6.0,1,-
James May - On The Line,Train,132.0,140.0,8.0,1,-
James May - On The Line,Train,140.0,147.0,7.0,1,-
James May - On The Line,Train,147.0,152.0,5.0,1,-
James May - On The Line,Train,152.0,158.0,6.0,1,-
James May - On The Line,Train,158.0,164.0,6.0,8,in a heartbeat the whole scape can change
James May - On The Line,Train,164.0,170.0,6.0,11,take you far away from your home back on a range
James May - On The Line,Train,170.0,176.0,6.0,10,a raven comes there is a knock at your door
James May - On The Line,Train,177.0,183.0,6.0,9,but all he says to you is never more
James May - On The Line,Train,183.0,190.0,7.0,7,with whose arms do we hold with
James May - On The Line,Train,189.0,194.0,5.0,6,with what grace can we grow
James May - On The Line,Train,194.0,202.0,8.0,7,old with whose life do we entwine
James May - On The Line,Train,202.0,212.0,10.0,10,how much golden can we mine on this earthbound line
James May - On The Line,Train,212.0,220.0,8.0,12,how much sweetness do we how much laughter can we how much
James May - On The Line,Train,220.0,228.0,8.0,8,heaven will we find on the earthbound line
James May - On The Line,Train,228.0,236.0,8.0,1,-
James May - On The Line,Train,236.0,243.0,7.0,1,-
James May - On The Line,Train,243.0,250.0,7.0,1,-
Skelpolu - Human Mistakes,Train,0.0,10.0,10.0,1,-
Skelpolu - Human Mistakes,Train,10.0,19.0,9.0,1,-
Skelpolu - Human Mistakes,Train,19.0,27.0,8.0,1,-
Skelpolu - Human Mistakes,Train,27.0,34.0,7.0,1,-
Skelpolu - Human Mistakes,Train,34.0,40.0,6.0,1,-
Skelpolu - Human Mistakes,Train,40.0,45.0,5.0,1,-
Skelpolu - Human Mistakes,Train,45.0,54.0,9.0,1,-
Skelpolu - Human Mistakes,Train,54.0,61.0,7.0,3,please stay close
Skelpolu - Human Mistakes,Train,61.0,65.0,4.0,1,-
Skelpolu - Human Mistakes,Train,65.0,71.0,6.0,4,you i want most
Skelpolu - Human Mistakes,Train,71.0,76.0,5.0,1,-
Skelpolu - Human Mistakes,Train,76.0,82.0,6.0,6,why do you run away now
Skelpolu - Human Mistakes,Train,82.0,87.0,5.0,7,why don't you give it a chance
Skelpolu - Human Mistakes,Train,87.0,93.0,6.0,7,there is still so much so see
Skelpolu - Human Mistakes,Train,93.0,98.0,5.0,5,between only you and me
Skelpolu - Human Mistakes,Train,98.0,105.0,7.0,6,mistakes are there to be made
Skelpolu - Human Mistakes,Train,105.0,109.0,4.0,1,-
Skelpolu - Human Mistakes,Train,109.0,114.0,5.0,7,the least thing we need is hate
Skelpolu - Human Mistakes,Train,114.0,120.0,6.0,1,-
Skelpolu - Human Mistakes,Train,120.0,127.0,7.0,4,forgive my big selfishness
Skelpolu - Human Mistakes,Train,127.0,131.0,4.0,1,-
Skelpolu - Human Mistakes,Train,131.0,140.0,9.0,7,please don't mind we are just human
Skelpolu - Human Mistakes,Train,140.0,147.0,7.0,3,we must see
Skelpolu - Human Mistakes,Train,147.0,152.0,5.0,1,-
Skelpolu - Human Mistakes,Train,152.0,160.0,8.0,4,it's you and me
Skelpolu - Human Mistakes,Train,160.0,164.0,4.0,1,-
Skelpolu - Human Mistakes,Train,164.0,175.0,11.0,13,why do you run away now why don't you give it a chance
Skelpolu - Human Mistakes,Train,175.0,181.0,6.0,7,there is still so much to see
Skelpolu - Human Mistakes,Train,181.0,186.0,5.0,5,between only you and me
Skelpolu - Human Mistakes,Train,186.0,193.0,7.0,6,mistakes are there to be made
Skelpolu - Human Mistakes,Train,193.0,197.0,4.0,1,-
Skelpolu - Human Mistakes,Train,197.0,203.0,6.0,7,the least thing we need is hate
Skelpolu - Human Mistakes,Train,203.0,208.0,5.0,1,-
Skelpolu - Human Mistakes,Train,208.0,214.0,6.0,4,forgive my big selfishness
Skelpolu - Human Mistakes,Train,214.0,219.0,5.0,1,-
Skelpolu - Human Mistakes,Train,219.0,227.0,8.0,7,please don't mind we are just human
Skelpolu - Human Mistakes,Train,229.0,236.0,7.0,6,mistakes are there to be made
Skelpolu - Human Mistakes,Train,235.0,241.0,6.0,6,why do you run away now
Skelpolu - Human Mistakes,Train,241.0,246.0,5.0,7,the least thing we need is hate
Skelpolu - Human Mistakes,Train,246.0,252.0,6.0,7,why don't you give it a chance
Skelpolu - Human Mistakes,Train,252.0,257.0,5.0,4,forgive my big selfishness
Skelpolu - Human Mistakes,Train,257.0,263.0,6.0,7,there is still so much to see
Skelpolu - Human Mistakes,Train,263.0,269.0,6.0,7,please don't mind we are just human
Skelpolu - Human Mistakes,Train,269.0,274.0,5.0,5,between only you and me
Skelpolu - Human Mistakes,Train,274.0,282.0,8.0,3,human human human
